btr_id,name,exchange,ticker,country
09241,Mitsui,TSE,8031,JP
09251,Mitsui Chemicals,TSE,4183,JP
09261,Mitsui Fudosan,TSE,8801,JP
09271,Mitsui Mining & Smelting,TSE,5706,JP
09281,Mitsui O.S.K. Lines,TSE,9104,JP
09291,Miwon Commercial,KRX,002840,KR
09301,Mizuho Financial,TSE,8411,JP
09311,Moderna,NASDAQ,MRNA,US
09321,Mohawk Industries,NYSE,MHK,US
09331,Molina Healthcare,NYSE,MOH,US
09341,Molson Coors Beverage Company,NYSE,TAP,US
09351,Moncler,BIT,MONC,IT
09361,Mondelez International,NASDAQ,MDLZ,US
09371,Mondi,LSE,MNDI,GB
09381,MongoDB,NASDAQ,MDB,US
09391,Monolithic Power Systems,NASDAQ,MPWR,US
09401,Monster Beverage,NASDAQ,MNST,US
09411,Moody's,NYSE,MCO,US
09421,Morgan Stanley,NYSE,MS,US
09431,Morrison Supermarket,LSE,MRW,GB
09441,Motorola Solutions,NYSE,MSI,US
09451,MS&AD Insurance,TSE,8725,JP
09461,MSCI,NYSE,MSCI,US
09471,MTR Corporation,HKEX,0066,HK
09481,MTU Aero Engines,FWB,MTX,DE
09491,Muenchener Rueckversich,FWB,MUV2,DE
09501,Murata Manufacturing,TSE,6981,JP
09511,NARI Technology,SSE,600406,CN
09521,Nasdaq,NASDAQ,NDAQ,US
09531,Natera,NASDAQ,NTRA,US
09541,National Australia Bank,ASX,NAB,AU
09551,National Bank of Canada,TSX,NA,CA
09561,National Grid,LSE,NG,GB
09571,NatWest,LSE,NWG,GB
09581,Naver,KRX,035420,KR
09591,NCSoft,KRX,036570,KR
09601,NEC Corporation,TSE,6701,JP
09611,Nestlé,SIX,NESN,CH
09621,NetApp,NASDAQ,NTAP,US
09631,NetEase,HKEX,9999,HK
09641,Netflix,NASDAQ,NFLX,US
09651,Netmarble,KRX,251270,KR
09661,New Informa,LSE,INF,GB
09671,New World Development Company,HKEX,0017,HK
09681,Newmont,NYSE,NEM,US
09691,News Corp,NASDAQ,NWSA,US
09701,Nexon,TSE,3659,JP
09711,Next,LSE,NXT,GB
09721,NextEra Energy,NYSE,NEE,US
09731,NGK Insulators,TSE,5333,JP
09741,NH Foods,TSE,2282,JP
09751,NH Investment & Securities,KRX,005940,KR
09761,Nichirei,TSE,2871,JP
09771,Nidec,TSE,6594,JP
09781,Nike,NYSE,NKE,US
09791,Nikon,TSE,7731,JP
09801,Nintendo,TSE,7974,JP
09811,Nippon Electric Glass,TSE,5214,JP
09821,Nippon Express,TSE,9147,JP
09831,Nippon Paper Industries,TSE,3863,JP
09841,Nippon Sheet Glass,TSE,5202,JP
09851,Nippon Steel,TSE,5401,JP
09861,Nippon Telegraph & Telephone,TSE,9432,JP
09871,Nippon Yusen K.K.,TSE,9101,JP
09881,NiSource,NYSE,NI,US
09891,Nissan Chemical Industries,TSE,4021,JP
09901,Nissan Motor,TSE,7201,JP
09911,Nisshin Seifun,TSE,2002,JP
09921,Nissui,TSE,1332,JP
09931,Nitori,TSE,9843,JP
09941,Nitto Denko,TSE,6988,JP
09951,NN,AMS,NN,NL
09961,Nokia,HEL,NOKIA,FI
09971,Nomura,TSE,8604,JP
09981,Nomura Holdings,NYSE,NMR,US
09991,Nongfu Spring,HKEX,9633,HK
10001,Nongshim,KRX,004370,KR
10011,Nordea Bank,HEL,NDAFI,FI
10021,Nordson Corporation,NASDAQ,NDSN,US
10031,Norfolk Southern,NYSE,NSC,US
10041,Northern Trust,NASDAQ,NTRS,US
10051,Northrop Grumman,NYSE,NOC,US
10061,Norwegian Cruise Line Holdings,NYSE,NCLH,US
10071,Novartis,SIX,NOVN,CH
10081,Novo Nordisk,CPH,NOVO-B,DK
10091,Novonesis,CPH,NSIS-B,DK
10101,Novozymes,CPH,NZYM-B,DK
10111,NRG Energy,NYSE,NRG,US
10121,NSK Global,TSE,6471,JP
10131,NTN Corporation,TSE,6472,JP
10141,NTT Group,TSE,9432,JP
10151,NTT Data,TSE,9613,JP
10161,Nucor,NYSE,NUE,US
10171,Nutanix,NASDAQ,NTNX,US
10181,Nutrien,TSX,NTR,CA
10191,Nvidia,NASDAQ,NVDA,US
10201,NVR,NYSE,NVR,US
10211,NXP Semiconductors,NASDAQ,NXPI,NL
10221,O'Reilly Automotive,NASDAQ,ORLY,US
10231,Obayashi,TSE,1802,JP
10241,OCBC Bank,SGX,O39,SG
10251,Occidental Petroleum,NYSE,OXY,US
10261,OCI Holdings,KRX,010060,KR
10271,Odakyu Electric Railway,TSE,9007,JP
10281,Oji Holdings,TSE,3861,JP
10291,Oki Electric Industry,TSE,6703,JP
10301,Okta,NASDAQ,OKTA,US
10311,Okuma,TSE,6103,JP
10321,Old Dominion Freight,NASDAQ,ODFL,US
10331,Old Mutual,JSE,OMU,ZA
10341,Olympus,TSE,7733,JP
10351,Omnicom,NYSE,OMC,US
10361,Omron,TSE,6645,JP
10371,ON Semiconductor,NASDAQ,ON,US
10381,ONEOK,NYSE,OKE,US
10391,Oracle,NYSE,ORCL,US
10401,Orange,EURONEXT,ORA,FR
10411,Orient Overseas,HKEX,0316,HK
10421,Oriental Land,TSE,4661,JP
10431,Orion Holdings,KRX,001800,KR
10441,Orix,TSE,8591,JP
10451,Orkla,OSL,ORK,NO
10461,Osaka Gas,TSE,9532,JP
10471,Otis Worldwide,NYSE,OTIS,US
10481,Otsuka Pharmaceutical,TSE,4578,JP
10491,Ottogi,KRX,007310,KR
10501,Paccar,NASDAQ,PCAR,US
10511,Pacific Metals,TSE,5541,JP
10521,Packaging Corporation of America,NYSE,PKG,US
10531,Paddy Power Betfair,LSE,FLTR,IE
10541,Palantir Technologies,NYSE,PLTR,US
10551,Palo Alto Networks,NASDAQ,PANW,US
10561,Pan Ocean,KRX,028670,KR
10571,Panasonic,TSE,6752,JP
10581,Panasonic Holdings,TSE,6752,JP
10591,Pandora,CPH,PNDORA,DK
10601,Paramount Global,NASDAQ,PARA,US
10611,Parker Hannifin,NYSE,PH,US
10621,Partners Holding,KRX,004960,KR
10631,Paychex,NASDAQ,PAYX,US
10641,Paycom,NYSE,PAYC,US
10651,Paypal,NASDAQ,PYPL,US
10661,Pearson,LSE,PSON,GB
10671,Pembina Pipeline,TSX,PPL,CA
10681,Pentair,NYSE,PNR,US
10691,Pepsico,NASDAQ,PEP,US
10701,Pernod Ricard,EURONEXT,RI,FR
10711,Persimmon,LSE,PSN,GB
10721,PetroChina,HKEX,0857,HK
10731,Peugeot,EURONEXT,UG,FR
10741,Pfizer,NYSE,PFE,US
10751,PG&E Corporation,NYSE,PCG,US
10761,Philip Morris International,NYSE,PM,US
10771,Philips,EURONEXT,PHIA,NL
10781,Phillips 66,NYSE,PSX,US
10791,PI Advanced Materials,KRX,178920,KR
10801,Ping An Insurance,HKEX,2318,HK
10811,Pinnacle West,NYSE,PNW,US
10821,Pinterest,NYSE,PINS,US
